name;WoSline;author;title;journal;year
LIN_S(2017)36:294;11864;Lin, SM; Identify predictors of university students' continuance intention to use online carbon footprint calculator;BEHAV INFORM TECHNOL;2017
GOW_J(2017)12:P01007;12015;Gow, JPD; Proton radiation damage assessment of a CCD for use in a Ultraviolet and Visible Spectrometer;J INSTRUM;2017
NANATH_K(2017)34:3;12081;Nanath, K; The Influence of Green_IS Practices on Competitive Advantage: Mediation Role of Green Innovation Performance;INFORM SYST MANAGE;2017
KERN_E(2017):335;12229;Kern, E; Communicating Environmental Issues of Software: Outline of an Acceptance Model;PROGR IS;2017
FISUN_M(2017)512:63;12310;Fisun, M; Generation of the Association Rules Among Multidimensional Data in DBMS Cache Environment;ADV INTELL SYST;2017
JUNKER_H(2017)214:49;12371;Junker, H; TOWARDS INDUSTRY 4.0 IN CORPORATE ENERGY MANAGEMENT;WIT TRANS ECOL ENVIR;2017
JENSEN_S(2017)507:19;12426;Jensen, S; Trends in Policy Relevant European Environmental information_system;IFIP ADV INF COMM TE;2017
SCHLACHT_T(2017)507:360;12478;Schlachter, T; A Generic Web Cache Infrastructure for the Provision of Multifarious Environmental Data;IFIP ADV INF COMM TE;2017
BRAUN_E(2017)507:383;12549;Braun, E; A Generic Microservice Architecture for Environmental Data Management;IFIP ADV INF COMM TE;2017
BRAUN_E(2017)507:457;12614;Braun, E; 3D Volume Visualization of Environmental Data in the Web;IFIP ADV INF COMM TE;2017
PEREIRA_R(2017):256;12674;Pereira, R; Energy Efficiency across Programming Languages;*****;2017
QIU_C(2016):s13638-016-0779-x;12793;Qiu, C; Sleeping mode of multi-controller in green_software-defined networking;EURASIP J WIREL COMM;2016
THIMM_H(2016)7:1;12858;Thimm, H; Enhancement of Environmental Compliance Management by a Risk Profiling Information Service;INT J AGRIC ENVIRON;2016
LOSSIN_F(2016)31:149;12931;Lossin, F; energy_informatics for behavioral change;COMPUT SCI-RES DEV;2016
SPICHKOV_M(2016)5:47;13008;Spichkova, M; Dynamic Decision Making System for Public Transport Routes;INT J SYST DYN APPL;2016
ZANDER_F(2016)5:ijgi5070123;13095;Zander, F; River Basin information_system: Open Environmental Data Management for Research and Decision Making;ISPRS INT J GEO-INF;2016
FERREIRA_A(2016)98:709;13171;Ferreira, AM; Managing the complex data center environment: an Integrated Energy-aware Framework;COMPUTING;2016
PROCACCI_G(2016)117:185;13276;Procaccianti, G; Empirical evaluation of two best practices for energy-efficient software development;J SYST SOFTWARE;2016
KETTER_W(2016)40:447;13377;Ketter, W; A MULTIAGENT COMPETITIVE GAMING PLATFORM TO ADDRESS SOCIETAL CHALLENGES;MIS QUART;2016
STAAKE_T(2016)31:1;13476;Staake, T; Editorial for the third D-A-CH conference on energy_informatics;COMPUT SCI-RES DEV;2016
HEDMAN_J(2016)26:259;13518;Hedman, J; Developing ecological sustainability: a green_IS response model;INFORM SYST J;2016
LI_S(2016)54:2136;13639;Li, SR; Proactive environmental strategies and performance: role of green supply chain processes and green product design in the Chinese high-tech industry;INT J PROD RES;2016
KOUZIOKA_G(2016)5:106;13790;Kouziokas, GN; Technology-based management of environmental organizations using an Environmental Management information_system (EMIS): Design and development;ENVIRON TECHNOL INNO;2016
ZHOU_K(2016)56:810;13921;Zhou, KL; Understanding household energy consumption behavior: The contribution of energy big data analytics;RENEW SUST ENERG REV;2016
LEHNHOFF_S(2016)58:1;14110;Lehnhoff, S; energy_informatics;IT-INF TECHNOL;2016
BAGGIA_A(2016)49:15;14150;Baggia, A; Awareness and Attitude Towards Green_IS in Slovenian Enterprises;ORGANIZACIJA;2016
SPITERI_C(2016)102:295;14227;Spiteri, C; Assessing the progress in depolluting the Mediterranean Sea;MAR POLLUT BULL;2016
MANOTAS_I(2016):237;14290;Manotas, I; An Empirical Study of Practitioners' Perspectives on green_software Engineering;PROC INT CONF SOFTW;2016
VILLANUE_M(2016):;14419;Villanueva, MLG; Appliance Recognition System for ILM using AGILASx - Dataset of Common Appliances in the Philippines;*****;2016
HOU_G(2016):1825;14481;Hou, G; ETSTM: A New green_software Model;IEEE TRUST BIG;2016
YA'ACOB_N(2016):56;14552;Ya'acob, N; Mitigation of Space Radiation Effects on Satellites at Low Earth Orbit (LEO);*****;2016
DIMASCIO_D(2016):511;14607;Di Mascio, D; 3D Digital Reconstructions of Lost Buildings A first critical framing;*****;2016
QIU_C(2016):;14675;Qiu, C; Why Did You Opt to Switch off Me? Big Data For green_software Defined Networking;IEEE GLOBE WORK;2016
SALAM_M(2016):1059;14750;Salam, M; Developing Green and Sustainable Software: Success Factors for Vendors;INT CONF SOFTW ENG;2016
ARAUJO_A(2016):491;14820;Araujo, ACR; CONTRIBUTIONS OF ENVIRONMENTAL information_system (SIA) IN THE PROCESS OF ENVIRONMENTAL LICENSING: THE PROMABEN CASE, BELEM - PA;GEO UERJ;2016
DOKO_T(2016)41:43;14870;Doko, T; AN ATTEMPT TO DEVELOP AN environmental_information_system OF ECOLOGICAL INFRASTRUCTURE FOR EVALUATING FUNCTIONS OF ECOSYSTEM-BASED SOLUTIONS FOR DISASTER RISK REDUCTION (ECO-DRR);INT ARCH PHOTOGRAMM;2016
QIU_C(2016):525;14952;Qiu, C; Multiple Controllers Sleeping Management in green_software Defined Wireless Networking;*****;2016
HU_Y(2016):;15021;Hu, Y; GreSDN: Toward a green_software Defined Network;*****;2016
HAMMOUM_H(2016)25:357;15079;Hammoum, H; An EIS for the analysis of vulnerability of water storage tanks to natural hazards;J DECIS SYST;2016
JAGROEP_E(2016)46:19;15149;Jagroep, E; A Resource Utilization Score for Software Energy Consumption;ACSR ADV COMPUT;2016
KERN_E(2016)46:231;15247;Kern, E; Development of a Label for green_software Products: A person-oriented view;ACSR ADV COMPUT;2016
KOETTER_F(2016):253;15302;Koetter, F; Real-Time Schedule Optimization in Shared Electric Vehicle Fleets;*****;2016
SULTAN_V(2016):33;15359;Sultan, V; A Predictive Model to Forecast Customer Adoption of Rooftop Solar;*****;2016
HAM_Y(2016):898;15414;Ham, Y; Improving Situational Awareness of the As-Is Building Conditions through Multi-Modal Sensing and Analytics Using Thermal Camera-Equipped Smartphones;*****;2016
TAN_J(2016):942;15487;Tan, J; WEIS: an environmental_information_system for Water Resources;*****;2016
